TEAM,YEAR,WINS,LOSSES,OFFRTG,OFFRANK,DEFRTG,DEFRANK,NETRTG,NETRANK,PLAYOFFS,URL
CHI,1999,13,37,92.4,29/29,103.0,16/29,-10.7,29/29,No Playoffs,https://www.basketball-reference.com/teams/CHI/1999.html
CHI,2000,17,65,94.2,29/29,104.6,16/29,-10.4,28/29,No Playoffs,https://www.basketball-reference.com/teams/CHI/2000.html
CHI,2001,15,67,97.2,29/29,107.3,27/29,-10.1,29/29,No Playoffs,https://www.basketball-reference.com/teams/CHI/2001.html
CHI,2002,21,61,98.2,28/29,107.6,24/29,-9.4,29/29,No Playoffs,https://www.basketball-reference.com/teams/CHI/2002.html
CHI,2003,30,52,100.2,26/29,105.6,21/29,-5.4,25/29,No Playoffs,https://www.basketball-reference.com/teams/CHI/2003.html
CHI,2004,23,59,96.6,29/29,103.4,16/29,-6.8,28/29,No Playoffs,https://www.basketball-reference.com/teams/CHI/2004.html
CHI,2005,47,35,101.4,27/30,100.3,2/30,1.1,12/30,Lost Round 1 (2-4),https://www.basketball-reference.com/teams/CHI/2005.html
CHI,2006,41,41,104.0,23/30,103.4,7/30,0.7,14/30,Lost Round 1 (2-4),https://www.basketball-reference.com/teams/CHI/2006.html
CHI,2007,49,33,104.9,21/30,99.6,1/30,5.3,4/30,Lost Round 2 (2-4),https://www.basketball-reference.com/teams/CHI/2007.html
CHI,2008,33,49,103.9,26/30,107.2,14/30,-3.3,21/30,No Playoffs,https://www.basketball-reference.com/teams/CHI/2008.html
CHI,2009,41,41,108.4,15/30,108.7,18/30,-0.3,16/30,Lost Round 1 (3-4),https://www.basketball-reference.com/teams/CHI/2009.html
CHI,2010,41,41,103.5,27/30,105.3,11/30,-1.7,18/30,Lost Round 1 (1-4),https://www.basketball-reference.com/teams/CHI/2010.html
CHI,2011,62,20,108.3,11/30,100.3,1/30,8.0,2/30,Lost Round 3 (1-4),https://www.basketball-reference.com/teams/CHI/2011.html
CHI,2012,50,16,107.4,5/30,98.3,2/30,9.1,1/30,Lost Round 1 (2-4),https://www.basketball-reference.com/teams/CHI/2012.html
CHI,2013,45,37,103.5,23/30,103.2,6/30,0.4,14/30,Lost Round 2 (1-4),https://www.basketball-reference.com/teams/CHI/2013.html
CHI,2014,48,34,102.5,28/30,100.5,2/30,2.0,13/30,Lost Round 1 (1-4),https://www.basketball-reference.com/teams/CHI/2014.html
CHI,2015,50,32,107.5,11/30,104.3,11/30,3.2,10/30,Lost Round 2 (2-4),https://www.basketball-reference.com/teams/CHI/2015.html
CHI,2016,42,40,105.0,23/30,106.5,15/30,-1.5,18/30,No Playoffs,https://www.basketball-reference.com/teams/CHI/2016.html
CHI,2017,41,41,107.4,20/30,107.0,6/30,0.4,14/30,Lost Round 1 (2-4),https://www.basketball-reference.com/teams/CHI/2017.html
CHI,2018,27,55,103.8,28/30,110.9,24/30,-7.1,28/30,No Playoffs,https://www.basketball-reference.com/teams/CHI/2018.html
CHI,2019,22,60,104.8,29/30,113.2,25/30,-8.4,27/30,No Playoffs,https://www.basketball-reference.com/teams/CHI/2019.html
CHI,2020,22,43,106.7,27/30,109.8,12/30,-3.1,22/30,No Playoffs,https://www.basketball-reference.com/teams/CHI/2020.html
CHI,2021,31,41,111.1,19/30,112.0,11/30,-0.9,20/30,No Playoffs,https://www.basketball-reference.com/teams/CHI/2021.html
CHI,2022,17,10,110.0,13/30,107.4,7/30,2.6,8/30,No Playoffs,https://www.basketball-reference.com/teams/CHI/2022.html
CLE,1985,36,46,106.0,14/23,108.7,16/23,-2.7,18/23,Lost Round 1 (1-3),https://www.basketball-reference.com/teams/CLE/1985.html
CLE,1986,29,53,105.5,16/23,108.3,18/23,-2.8,16/23,No Playoffs,https://www.basketball-reference.com/teams/CLE/1986.html
CLE,1987,31,51,102.6,22/23,106.4,6/23,-3.8,19/23,No Playoffs,https://www.basketball-reference.com/teams/CLE/1987.html
CLE,1988,42,40,106.8,15/23,106.0,5/23,0.8,12/23,Lost Round 1 (2-3),https://www.basketball-reference.com/teams/CLE/1988.html
CLE,1989,57,25,110.6,9/25,102.9,2/25,7.7,1/25,Lost Round 1 (2-3),https://www.basketball-reference.com/teams/CLE/1989.html
CLE,1990,42,40,106.9,19/27,107.2,10/27,-0.3,17/27,Lost Round 1 (2-3),https://www.basketball-reference.com/teams/CLE/1990.html
CLE,1991,33,49,106.1,18/27,108.7,18/27,-2.6,17/27,No Playoffs,https://www.basketball-reference.com/teams/CLE/1991.html
CLE,1992,57,25,113.9,2/27,108.2,11/27,5.7,5/27,Lost Round 3 (2-4),https://www.basketball-reference.com/teams/CLE/1992.html
CLE,1993,54,28,112.7,3/27,106.0,6/27,6.8,3/27,Lost Round 2 (0-4),https://www.basketball-reference.com/teams/CLE/1993.html
CLE,1994,47,35,109.4,6/27,105.1,11/27,4.4,8/27,Lost Round 1 (0-3),https://www.basketball-reference.com/teams/CLE/1994.html
CLE,1995,43,39,105.3,22/27,104.6,3/27,0.7,14/27,Lost Round 1 (1-3),https://www.basketball-reference.com/teams/CLE/1995.html
CLE,1996,47,35,109.9,10/29,106.7,11/29,3.1,8/29,Lost Round 1 (0-3),https://www.basketball-reference.com/teams/CLE/1996.html
CLE,1997,42,40,104.6,23/29,102.4,5/29,2.2,11/29,No Playoffs,https://www.basketball-reference.com/teams/CLE/1997.html
CLE,1998,47,35,102.2,24/29,99.1,1/29,3.0,10/29,Lost Round 1 (1-3),https://www.basketball-reference.com/teams/CLE/1998.html
CLE,1999,22,28,99.6,24/29,101.6,12/29,-2.0,20/29,No Playoffs,https://www.basketball-reference.com/teams/CLE/1999.html
CLE,2000,32,50,100.4,26/29,104.0,14/29,-3.6,24/29,No Playoffs,https://www.basketball-reference.com/teams/CLE/2000.html
CLE,2001,30,52,100.3,23/29,104.9,22/29,-4.6,23/29,No Playoffs,https://www.basketball-reference.com/teams/CLE/2001.html
CLE,2002,29,53,104.6,14/29,108.2,27/29,-3.7,22/29,No Playoffs,https://www.basketball-reference.com/teams/CLE/2002.html
CLE,2003,17,65,96.5,28/29,106.7,24/29,-10.2,29/29,No Playoffs,https://www.basketball-reference.com/teams/CLE/2003.html
CLE,2004,35,47,101.4,22/29,104.2,19/29,-2.9,22/29,No Playoffs,https://www.basketball-reference.com/teams/CLE/2004.html
CLE,2005,42,40,106.6,12/30,105.7,12/30,0.9,14/30,No Playoffs,https://www.basketball-reference.com/teams/CLE/2005.html
CLE,2006,50,32,107.8,9/30,105.4,14/30,2.5,8/30,Lost Round 2 (3-4),https://www.basketball-reference.com/teams/CLE/2006.html
CLE,2007,50,32,105.5,18/30,101.3,4/30,4.2,7/30,Lost Finals (0-4),https://www.basketball-reference.com/teams/CLE/2007.html
CLE,2008,45,37,106.0,20/30,106.4,11/30,-0.4,16/30,Lost Round 2 (3-4),https://www.basketball-reference.com/teams/CLE/2008.html
CLE,2009,66,16,112.4,4/30,102.4,3/30,10.0,1/30,Lost Round 3 (2-4),https://www.basketball-reference.com/teams/CLE/2009.html
CLE,2010,61,21,111.2,6/30,104.1,7/30,7.1,2/30,Lost Round 2 (2-4),https://www.basketball-reference.com/teams/CLE/2010.html
CLE,2011,19,63,102.2,29/30,111.8,29/30,-9.6,30/30,No Playoffs,https://www.basketball-reference.com/teams/CLE/2011.html
CLE,2012,21,45,101.1,24/30,108.9,26/30,-7.8,29/30,No Playoffs,https://www.basketball-reference.com/teams/CLE/2012.html
CLE,2013,24,58,104.3,19/30,109.4,27/30,-5.1,26/30,No Playoffs,https://www.basketball-reference.com/teams/CLE/2013.html
CLE,2014,33,49,104.2,22/30,107.7,19/30,-3.5,23/30,No Playoffs,https://www.basketball-reference.com/teams/CLE/2014.html
CLE,2015,53,29,111.1,3/30,106.3,18/30,4.8,5/30,Lost Finals (2-4),https://www.basketball-reference.com/teams/CLE/2015.html
CLE,2016,57,25,110.9,3/30,104.5,10/30,6.4,4/30,Won Finals (4-3),https://www.basketball-reference.com/teams/CLE/2016.html
CLE,2017,51,31,113.6,3/30,110.3,21/30,3.3,7/30,Lost Finals (1-4),https://www.basketball-reference.com/teams/CLE/2017.html
CLE,2018,50,32,112.9,5/30,111.9,29/30,1.0,14/30,Lost Finals (0-4),https://www.basketball-reference.com/teams/CLE/2018.html
CLE,2019,19,63,107.7,25/30,117.6,30/30,-9.9,30/30,No Playoffs,https://www.basketball-reference.com/teams/CLE/2019.html
CLE,2020,19,46,107.5,25/30,115.4,29/30,-7.9,29/30,No Playoffs,https://www.basketball-reference.com/teams/CLE/2020.html
CLE,2021,22,50,105.8,28/30,114.4,25/30,-8.6,28/30,No Playoffs,https://www.basketball-reference.com/teams/CLE/2021.html
