1985-10-13,Signed,PHI,Paul Thompson
1985-10-14,Waived,PHO,Alvin Scott
1985-10-16,Waived,LAC,Ray Williams
1985-10-16,Waived,LAL,Dexter Shouse
1985-10-16,Waived,NJN,George Johnson
1985-10-18,Waived,CHI,Ron Brewer
1985-10-18,Claimed,SEA,George Johnson
1985-10-21,Waived,SAC,Pete Verhoeven
1985-10-21,Waived,SAC,Ed Nealy
1985-10-22,Waived,BOS,Carlos Clark
1985-10-22,Waived,CLE,Derrick Rowland
1985-10-22,Waived,DEN,Joe Kopicki
1985-10-22,Waived,DEN,Barry Stevens
1985-10-22,Waived,HOU,Sam Mitchell
1985-10-22,Waived,IND,Tony Brown
1985-10-22,Waived,MIL,McKinley Singleton
1985-10-22,Waived,MIL,Mark McNamara
1985-10-22,Waived,NJN,Ron Brewer
1985-10-22,Waived,NYK,Clinton Wheeler
1985-10-22,Waived,PHI,George Johnson
1985-10-22,Waived,SAS,Earl Jones
1985-10-22,Waived,WSB,Guy Williams
1985-10-23,Waived,DEN,Rob Williams
1985-10-23,Traded,PHI;IND,[];[Clint Richardson]
1985-10-23,Traded,PHI,Clint Richardson
1985-10-23,Signed,SAS,Wes Matthews
1985-10-23,Traded,SEA;SAS,[];[Jon Sundvold]
1985-10-23,Traded,SEA,Jon Sundvold
1985-10-24,Traded,CHI;SAS,[George Gervin];[Dave Greenwood]
1985-10-24,Waived,CHI,Rod Higgins
1985-10-24,Signed,GSW,Geoff Huston
1985-10-24,Signed,GSW,Pete Verhoeven
1985-10-24,Signed,GSW,Guy Williams
1985-10-24,Waived,GSW,Othell Wilson
1985-10-24,Waived,IND,Jim Thomas
1985-10-24,Waived,SAS,Ozell Jones
1985-10-24,Waived,SEA,Jeff Cross
1985-10-25,Signed,ATL,Ray Williams
1985-10-28,Signed,ATL,Eddie Johnson
1985-10-28,Signed,SEA,Alex Stivrins
1985-10-29,Signed,CHI,John Paxson
1985-11-04,Waived,ATL,Sedric Toney
1985-11-04,Signed,DET,Walker Russell
1985-11-04,Waived,DET,Jerome Henderson
1985-11-04,Waived,PHO,Devin Durrant
1985-11-04,Waived,PHO,Mike Holton
1985-11-04,Waived,POR,Brian Martin
1985-11-04,Signed,SEA,Rod Higgins
1985-11-04,Waived,SEA,Brian Martin
1985-11-05,Signed,CHI,Ron Brewer
1985-11-06,Waived,GSW,Ron Crevier
